N(059L,Champion 7GCBC Citabria,274-70,,,,,,,,
N100AQ,IAI.1124 Westwind 1,295  ex N100AK,,,,,,,,
N100AR,Grumman G.1159C Gulfstream 4,1100,,,,,,,,
N100AS,Rans S.12 Airaile,049011,,,,,,,,
N100AS (C),DHC.6 Twin Otter,244,,,,,,,,
N100AT,Mescalero GA.111,1,,,,,,,,
N100AU,Fairchild-Hiller FH.1100,48,,,,,,,,
N100AV,Beech D.50 Twin Bonanza,DH-107,,,,,,,,
N100AW,Swearingen SA.26AT Merlin IIB,T26-116,,,,,,,,
N100AZ,Cessna 421C Golden Eagle,1051,,,,,,,,
N100AZ (C),Cessna 421B Golden Eagle,0322,,,,,,,,
N100B,Cessna 210 Centurion,57114,,,,,,,,
N100BA,PA.23 Aztec 250C,27-3074,,,,,,,,
N100BB,Canadair CL.44D.4,29,,,,,,,,
N100BC,IAI.1124 Westwind 1,438  ex N438AM,,,,,,,,
N100BC (C),IAI.1124 Westwind 1,226,,,,,,,,
N100BE,Cessna 210L Centurion,60678,,,,,,,,
N100BF,Cessna 172M Skyhawk,67339,,,,,,,,
N100BG,Dassault Falcon 10,138  ex N30TH,,,,,,,,
N100BG (C),Dassault Falcon 10,64,,,,,,,,
N100BH,Beech 95 Travel Air,TD-130,,,,,,,,
N100BJ,PA.32 Cherokee Six 300,32-40077,,,,,,,,
N100BK,Beech C.23 Sundowner,M-1420,,,,,,,,
N100BL,Beech A.60 Duke,P-135,,,,,,,,
N100BM,Beech 65 Queen Air,LC-10,,,,,,,,
N100BN,PA.32 Cherokee Six 260D,32-7100027,,,,,,,,
N100BP,Aero Commander 680T Turbo Commander,1538-5,,,,,,,,
N100BQ,Beech 95.55 Baron,TC-163,,,,,,,,
N100BR,Mitsubishi Mu.2B 20,213,,,,,,,,
N100BS,PA.23 Aztec 250C,27-3431,,,,,,,,
N100BT,Beech 95.C55 Baron,TE-46  ex N945V,,,,,,,,
N100BT (C),Beech F.35 Bonanza,D-4082,,,,,,,,
N100BV,Bellanca 17-31ATC Turbo Super Viking,74-31088,,,,,,,,
N100BW,DHC.3 Otter,58,,,,,,,,
N100BW (C),Cessna 421C Golden Eagle,0333,,,,,,,,
N100BX,Cessna 501 Citation I/SP,501-0285,,,,,,,,
N100BX (C),Cessna 500 Citation I,500-0366,,,,,,,,
N100BY,Mitsubishi Mu.2B 60,1565SA  ex N530DP,,,,,,,,
N100BY (C),Mitsubishi Mu.2B 60,753SA  ex N174MA,,,,,,,,
N100BZ,Beech A.36 Bonanza,E-538,,,,,,,,
N100C (C),Grumman G.159 Gulfstream 1,198  to N80RD,,,,,,,,
N100CA,Cessna 421B Golden Eagle,0503,,,,,,,,
N100CB,Mustang Two,100CB,,,,,,,,
N100CC,Cessna 425 Corsair,0170  ex N68721,,,,,,,,
N100CD,Beech B.60 Duke,P-477,,,,,,,,
N100CE,NA.265 Sabreliner 60,306-128,,,,,,,,
N100CF,Mitsubishi Mu.2B 20,229,,,,,,,,
N100CG,Cessna 172M Skyhawk,61191,,,,,,,,
N100CH,Cessna 501 Citation I/SP,501-0220  ex N628CH,,,,,,,,
N100CH (C),Beech 65.C90 King Air,LJ-987  to N180CH,,,,,,,,
N100CH (C),Beech 200 Super King Air,BB-494  ex N1VN,,,,,,,,
N100CJ,Cessna 550 Citation II,550-1067,,,,,,,,
N100CK,Dassault Falcon 10,222  ex N125FJ,,,,,,,,
N100CK (C),Dassault Falcon 10,125,,,,,,,,
N100CL,EAA Akro Spirit,01,,,,,,,,
N100CM,PA.31T Cheyenne 620-II,31T-8020073,,,,,,,,
N100CN,PA.23 Aztec 250F,27-7754050,,,,,,,,
N100CP,Cessna 310Q,0219,,,,,,,,
N100CQ,DHC.8 Dash 8 Srs.301,100,,,,,,,,
N100CQ (C),Beech 65.B90 King Air,LJ-498  to N76GM,,,,,,,,
N100CR,Cessna 421C Golden Eagle,0509,,,,,,,,
N100CS,Corben Baby Ace Model D,72921,,,,,,,,
N100CT,Dassault Falcon 10,203,,,,,,,,
N100CT (C),Aero Commander 680V Turbo Commander,1618-50,,,,,,,,
N100CU,Beech 65.F90 King Air,LA-182,,,,,,,,
N100CV,Chance-Vought F4U-5 Corsair,ex 124447,,,,,,,,
N100CW,Bushby M.11 Mustang II,1,,,,,,,,
N100CX,Cessna 550 Citation II,550-0028  ex N888MW,,,,,,,,
N100CX (C),Stoddard Hamilton SHA Glasair,358  to N100DE,,,,,,,,
N100CX (C),Cessna 550 Citation II,550-0577  ex N557CC,,,,,,,,
N100CZ,Colt 77A,093,,,,,,,,
N100D,Acro Sport Inc. Acro Sport II,968-1,,,,,,,,
N100D (C),Aerocar III,1,,,,,,,,
N100DA,Beech A.36 Bonanza,E-1670  ex N28DA,,,,,,,,
N100DA (C),BN2A-26 Islander,2020,,,,,,,,
N100DB,Cessna T.210N Turbo Centurion,63970,,,,,,,,
N100DC,EIRI Pik.20,20008,,,,,,,,
N100DD,Cessna 180J Skywagon,52766  ex N7832K,,,,,,,,
N100DD (C),North American P.51D Mustang,ex 44-74923  to N345,,,,,,,,
N100DE,Stoddard Hamilton SHA Glasair,358  ex N100CX,,,,,,,,
N100DE (C),Mitsubishi Mu.300 Diamond,A016SA  to N208F,,,,,,,,
N100DF,Cessna 172L Skyhawk,59479,,,,,,,,
N100DG,Cessna 421B Golden Eagle,0903,,,,,,,,
N100DH,Cessna R.182 Skylane RG,00090,,,,,,,,
N100DJ,Balloon Works Firefly 6,633,,,,,,,,
N100DK,Lockheed 18,6378,,,,,,,,
N100DL,Learjet 24B,24B-201,,,,,,,,
N100DM,PA.23 Aztec 250C,27-3176,,,,,,,,
N100DN,American Eaglet,63,,,,,,,,
N100DP,Bellanca 8KCAB Decathlon,130-74,,,,,,,,
N100DQ,PA.31 Navajo,31-499,,,,,,,,
N100DR,Beech 95.58TC Baron,TK-2,,,,,,,,
N100DS,Swearingen SA.226T(B) Merlin IIIB,T325,,,,,,,,
N100DT,PA.23 Aztec 250B,27-2236,,,,,,,,
N100DV,Mark Five,1,,,,,,,,
N100DW,Douglas DC.3C,13643,,,,,,,,
N100DZ,Cessna 150M,78643,,,,,,,,
N100E,Beech B.50 Twin Bonanza,CH-14,,,,,,,,
N100EA,Learjet 24,24-019  ex N654DN,,,,,,,,
